,comentario,toxico,homofobico,obsceno,insulto,racismo,misogino,xenofobia
17080,"a segunda instancia estava contagiada, pelo processo viciado da primeira instancia, pronto caiu todo seu argumento, XAU! ja perdi muito tempo assistindo",0.0,0.0,0.0,0.0,0.0,0.0,0.0
39269,"Esse tipo de testemunho precisa ir URGENTEMENTE para a TV aberta, em horário nobre, reservado exclusivamente para o Senhor Presidente Bolsonaro.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
49125,Agora tira do ladrão do filho do Bolsonaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21437,"*NANDO MOURA PRESO, DANILO GENTILI PRESO, QUANDO O MAMÃE FALEI SERÁ PRESO. 😂*",0.0,0.0,0.0,0.0,0.0,0.0,0.0
74746,Canal mais necessário do YouTube Br,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56718,Calma amiguinho. NINGUEM VAI FAZER TEUS AMIGOS VIRAREM HOMENS NÃO MEU BEM. ✌,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8875,Nando você é foda tudo verdade 👏👏👏👏👏👏👏,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63193,mas vcs estão com a cabecinhas lavadinhas de sabão Gramsci.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16407,"Top !!! Concordo  plenamente  !!! 
Melhora a liberdade  do torcedor  !!",0.0,0.0,0.0,0.0,0.0,0.0,0.0
14238,"Aqui está os privilégios dos militares
●Não tem hora extra
●Não tem direito a folga
●Não tem carteira assinada
●Não tem aposentadoria 
●Não tem adicional noturno 
●MAS TEM DIREITO A MORTE",0.0,0.0,0.0,0.0,0.0,0.0,0.0
22289,"Sou Olavista, Bolsonarista, Direitista, Conservador, Miniom e muito mais, desde que não seja de esquerda. Brasil acima de tudo, Deus acima de todos.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
10444,Tinha muitos robôs todos fazendo parte da revolução das máquinas. Foi épico. CAPITÃO NASCIMENTO   teria vergonha do WAGNER MOURA.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33955,"Aqui no Rio é uma zona, estão na escola mas saem sem saber NADA, alunos de segundo grau que não sabem escrever e nem fazer contas, É UM ABSURDO, sem falar na disciplina que inexiste.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
25650,Mestre Olavo ! Sempre com uma lucidez e o GRANDE filósofo de nós Direita e Conservadorismo.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34445,"Agora sabemos o porque o presidente Costa e Silva prendeu os ministros e fechou o STF em 1968.
Faça o mesmo, presidente!! Tem o nosso apoio!!",0.0,0.0,0.0,0.0,0.0,0.0,0.0
71240,o que esta acontecendo com as visualizacoes desse maluco,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72020,"Acabei de ler.

Agora Entendi porque detesto a pequena burguesia.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
65313,"quer imitar os EUA ? bora copiar a pena de morte, porte de arma, redução da maioridade penal etc 😊",0.0,0.0,0.0,0.0,0.0,0.0,0.0
5273,"""Fujam das propostas (revolucionárias) do mundo melhor"" Olavo de Carvalho",0.0,0.0,0.0,0.0,0.0,0.0,0.0
8081,"Boa Nando...
Gosto de Vc e Do Arthur...
Acho o Arthur Um Cara Maneiro..Arthur é Uma Boa Pessoa",0.0,0.0,0.0,0.0,0.0,0.0,0.0
18479,O Silvio Santos desenhou a reforma da previdência para os analfabetos funcionais.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72417,"O Olavo  de Carvalho  , nunca me enganou, agora ver meus filhos com graduação  acreditar nesse homem me frustrou muito. Tenho fé  que um dia essa enganação.  Será  revelada aos poucos. Tenho fé.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
47687,"Enquanto Bolsonaro ficar pedindo conselhos a esse pseudo filósofo, vai passar vergonha. Olha a porcaria de ministro de educação que esse gagá indicou.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
27895,BOLSONARO É MITO MESMO... ASSINOU POSSE DOS MINISTROS DE CANETA BIC KKKKK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70987,Vc e o pc siqueira ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73695,sektor wins. fatality.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27788,"Os esquerdistas vão dizer que foi tudo
Combinado",0.0,0.0,0.0,0.0,0.0,0.0,0.0
69242,"Arte não se define, a definição vem do juízo de valor, ou seja, do gosto individual. É um ABSURDO apagar aqueles graffitis/pichações!! Muito fascista dá parte dele!
Cidade linda não é cidade cinza!!",0.0,0.0,0.0,0.0,0.0,0.0,0.0
16660,"Vai fundo cara, como diz o tiozão do Twitter: -Minha p* não tem ideologia.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
29492,Esquerdistas entendam: O BRASIL hoje tem um VERDADEIRO PRESIDENTE.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
